E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER,E ( V vs. RHE),HER,E ( V vs. RHE),HER,E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER (normalized),,,
,1 bar CO,,0.5 bar CO,,0.1  bar CO,,0.01  bar CO,,,,,,,,,380
,,,,,,,,-0.64736,1.82527,-0.63687,7.72819,-0.63687,0.020337342,,,
,,,,,,,,-0.64669,1.80802,-0.63622,7.73908,-0.63622,0.020366,,,
,,,,,,,,-0.64608,1.79369,-0.63544,7.73242,-0.63544,0.020348474,,,
,,,,,,,,-0.64529,1.78844,-0.6344,7.72795,-0.6344,0.020336711,,,
,,,,,,,,-0.6448,1.77944,-0.63415,7.68997,-0.63415,0.020236763,,,
,,,,,,,,-0.64437,1.76698,-0.63327,7.6671,-0.63327,0.020176579,,,
,,,,,,,,-0.64307,1.75836,-0.63275,7.66892,-0.63275,0.020181368,,,
,,,,,,,,-0.64221,1.74602,-0.63175,7.67651,-0.63175,0.020201342,,,
,,,,,,,,-0.6423,1.72349,-0.63132,7.62305,-0.63132,0.020060658,,,
,,,,,,,,-0.64115,1.7169,-0.63068,7.65214,-0.63068,0.020137211,,,
,,,,,,,,-0.64084,1.70119,-0.6302,7.63546,-0.6302,0.020093316,,,
,,,,,,,,-0.63985,1.71158,-0.62899,7.5569,-0.62899,0.019886579,,,
,,,,,,,,-0.63904,1.69191,-0.62855,7.54329,-0.62855,0.019850763,,,
,,,,,,,,-0.63836,1.68844,-0.62755,7.56017,-0.62755,0.019895184,,,
,,,,,,,,-0.63724,1.68118,-0.62705,7.41476,-0.62705,0.019512526,,,
,,,,,,,,-0.63651,1.67397,-0.62625,7.40063,-0.62625,0.019475342,,,
,,,,,,,,-0.636,1.65181,-0.62597,7.30669,-0.62597,0.019228132,,,
,,,,,,,,-0.63549,1.63819,-0.6255,7.27697,-0.6255,0.019149921,,,
,,,,,,,,-0.63492,1.62576,-0.62446,7.29039,-0.62446,0.019185237,,,
,,,,,,,,-0.63379,1.62364,-0.62398,7.26363,-0.62398,0.019114816,,,
,,,,,,,,-0.63376,1.60021,-0.62334,7.28288,-0.62334,0.019165474,,,
,,,,,,,,-0.63254,1.59615,-0.62266,7.1882,-0.62266,0.018916316,,,
,,,,,,,,-0.63144,1.59873,-0.62165,7.15597,-0.62165,0.0188315,,,
,,,,,,,,-0.63109,1.59482,-0.62086,7.14883,-0.62086,0.018812711,,,
,,,,,,,,-0.63035,1.57508,-0.62013,7.20427,-0.62013,0.018958605,,,
,,,,,,,,-0.62998,1.56542,-0.61929,7.22366,-0.61929,0.019009632,,,
,,,,,,,,-0.62903,1.5561,-0.61863,7.19517,-0.61863,0.018934658,,,
,,,,,,,,-0.62826,1.53931,-0.61818,7.19256,-0.61818,0.018927789,,,
,,,,,,,,-0.62772,1.53098,-0.61743,7.09931,-0.61743,0.018682395,,,
,,,,,,,,-0.62708,1.5157,-0.61715,7.05847,-0.61715,0.018574921,,,
,,,,,,,,-0.62574,1.52228,-0.6159,7.00354,-0.6159,0.018430368,,,
,,,,,,,,-0.62509,1.51262,-0.61512,6.99903,-0.61512,0.0184185,,,
,,,,,,,,-0.62426,1.50176,-0.61436,6.93941,-0.61436,0.018261605,,,
