E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER,E ( V vs. RHE),HER,E ( V vs. RHE),HER,E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER (normalized),,,
,1 bar CO,,0.5 bar CO,,0.1  bar CO,,0.01  bar CO,,,,,,,,,380
,,,,,,,,-0.19948,0.00364,-0.19848,0.12091,-0.19848,0.000318184,,,
,,,,,,,,-0.19857,0.00361,-0.19748,0.11938,-0.19748,0.000314158,,,
,,,,,,,,-0.19755,0.0036,-0.19656,0.11927,-0.19656,0.000313868,,,
,,,,,,,,-0.19659,0.0036,-0.19547,0.11719,-0.19547,0.000308395,,,
,,,,,,,,-0.19546,0.00356,-0.19447,0.11696,-0.19447,0.000307789,,,
,,,,,,,,-0.1945,0.00352,-0.19353,0.11552,-0.19353,0.000304,,,
,,,,,,,,-0.19342,0.00358,-0.19256,0.11428,-0.19256,0.000300737,,,
,,,,,,,,-0.19256,0.00354,-0.19149,0.11521,-0.19149,0.000303184,,,
,,,,,,,,-0.19154,0.00343,-0.19059,0.11388,-0.19059,0.000299684,,,
,,,,,,,,-0.19054,0.00342,-0.1895,0.11196,-0.1895,0.000294632,,,
,,,,,,,,-0.18967,0.00341,-0.18851,0.11233,-0.18851,0.000295605,,,
,,,,,,,,-0.18857,0.0034,-0.18746,0.11042,-0.18746,0.000290579,,,
,,,,,,,,-0.18768,0.00336,-0.18642,0.10966,-0.18642,0.000288579,,,
,,,,,,,,-0.18641,0.00335,-0.18549,0.10875,-0.18549,0.000286184,,,
,,,,,,,,-0.18557,0.00332,-0.18447,0.10775,-0.18447,0.000283553,,,
,,,,,,,,-0.18444,0.00326,-0.18349,0.10702,-0.18349,0.000281632,,,
,,,,,,,,-0.18369,0.00324,-0.18251,0.10727,-0.18251,0.000282289,,,
,,,,,,,,-0.18255,0.00321,-0.18139,0.10551,-0.18139,0.000277658,,,
,,,,,,,,-0.18144,0.0032,-0.18044,0.10485,-0.18044,0.000275921,,,
,,,,,,,,-0.18061,0.00316,-0.17953,0.10501,-0.17953,0.000276342,,,
,,,,,,,,-0.17945,0.00316,-0.17848,0.10364,-0.17848,0.000272737,,,
,,,,,,,,-0.17847,0.00312,-0.17744,0.10235,-0.17744,0.000269342,,,
,,,,,,,,-0.17751,0.00311,-0.17657,0.10207,-0.17657,0.000268605,,,
,,,,,,,,-0.1765,0.00307,-0.17543,0.10114,-0.17543,0.000266158,,,
,,,,,,,,-0.17552,0.00308,-0.17462,0.10016,-0.17462,0.000263579,,,
,,,,,,,,-0.17449,0.00303,-0.17354,0.10031,-0.17354,0.000263974,,,
,,,,,,,,-0.17354,0.00299,-0.17255,0.09934,-0.17255,0.000261421,,,
,,,,,,,,-0.17249,0.00299,-0.17147,0.09809,-0.17147,0.000258132,,,
,,,,,,,,-0.17134,0.00299,-0.17051,0.09807,-0.17051,0.000258079,,,
,,,,,,,,-0.17063,0.00299,-0.16943,0.0964,-0.16943,0.000253684,,,
,,,,,,,,-0.16972,0.00303,-0.16864,0.09656,-0.16864,0.000254105,,,
,,,,,,,,-0.16859,0.00294,-0.16758,0.09554,-0.16758,0.000251421,,,
,,,,,,,,-0.1677,0.00293,-0.16648,0.09517,-0.16648,0.000250447,,,
,,,,,,,,-0.16654,0.00292,-0.16564,0.09402,-0.16564,0.000247421,,,
,,,,,,,,-0.16533,0.00293,-0.16456,0.0937,-0.16456,0.000246579,,,
,,,,,,,,-0.16462,0.00285,-0.16354,0.09316,-0.16354,0.000245158,,,
,,,,,,,,-0.16357,0.00291,-0.16259,0.09176,-0.16259,0.000241474,,,
,,,,,,,,-0.16264,0.00286,-0.16157,0.09131,-0.16157,0.000240289,,,
,,,,,,,,-0.16154,0.00294,-0.16047,0.09141,-0.16047,0.000240553,,,
,,,,,,,,-0.16061,0.0028,-0.15964,0.08959,-0.15964,0.000235763,,,
,,,,,,,,-0.15958,0.00284,-0.15855,0.08987,-0.15855,0.0002365,,,
,,,,,,,,-0.15845,0.00282,-0.15749,0.08889,-0.15749,0.000233921,,,
,,,,,,,,-0.15786,0.00278,-0.15659,0.08795,-0.15659,0.000231447,,,
,,,,,,,,-0.15639,0.00276,-0.15556,0.08794,-0.15556,0.000231421,,,
,,,,,,,,-0.15542,0.00274,-0.15453,0.0875,-0.15453,0.000230263,,,
,,,,,,,,-0.15469,0.00291,-0.15335,0.08616,-0.15335,0.000226737,,,
,,,,,,,,-0.15356,0.00274,-0.15249,0.08618,-0.15249,0.000226789,,,
,,,,,,,,-0.15263,0.00267,-0.15138,0.08534,-0.15138,0.000224579,,,
,,,,,,,,-0.15126,0.00265,-0.15047,0.08437,-0.15047,0.000222026,,,
,,,,,,,,-0.15063,0.00267,-0.1494,0.08429,-0.1494,0.000221816,,,
,,,,,,,,-0.14963,0.00267,-0.14848,0.08354,-0.14848,0.000219842,,,
,,,,,,,,-0.14861,0.0026,-0.14744,0.08318,-0.14744,0.000218895,,,
,,,,,,,,-0.14755,0.00265,-0.14642,0.08169,-0.14642,0.000214974,,,
,,,,,,,,-0.14661,0.00258,-0.1454,0.0812,-0.1454,0.000213684,,,
,,,,,,,,-0.1457,0.00258,-0.14458,0.08114,-0.14458,0.000213526,,,
,,,,,,,,-0.14424,0.00257,-0.14353,0.08033,-0.14353,0.000211395,,,
,,,,,,,,-0.14325,0.0027,-0.14263,0.07988,-0.14263,0.000210211,,,
,,,,,,,,-0.14256,0.0025,-0.14135,0.07968,-0.14135,0.000209684,,,
,,,,,,,,-0.14112,0.00251,-0.14044,0.07881,-0.14044,0.000207395,,,
,,,,,,,,-0.14024,0.00253,-0.1394,0.07761,-0.1394,0.000204237,,,
,,,,,,,,-0.13939,0.00252,-0.13848,0.07737,-0.13848,0.000203605,,,
,,,,,,,,-0.13841,0.00248,-0.13748,0.07642,-0.13748,0.000201105,,,
,,,,,,,,-0.13741,0.00248,-0.13652,0.07615,-0.13652,0.000200395,,,
,,,,,,,,-0.13652,0.00245,-0.13545,0.07544,-0.13545,0.000198526,,,
,,,,,,,,-0.13602,0.00244,-0.13452,0.07524,-0.13452,0.000198,,,
,,,,,,,,-0.13494,0.00251,-0.13345,0.07457,-0.13345,0.000196237,,,
,,,,,,,,-0.13366,0.00245,-0.13238,0.07362,-0.13238,0.000193737,,,
,,,,,,,,-0.13256,0.00245,-0.13151,0.07251,-0.13151,0.000190816,,,
,,,,,,,,-0.13184,0.00242,-0.13042,0.07293,-0.13042,0.000191921,,,
,,,,,,,,-0.1307,0.00245,-0.12956,0.07225,-0.12956,0.000190132,,,
,,,,,,,,-0.12996,0.00245,-0.12851,0.07173,-0.12851,0.000188763,,,
,,,,,,,,-0.12861,0.00242,-0.12757,0.07112,-0.12757,0.000187158,,,
,,,,,,,,-0.12754,0.00243,-0.1265,0.0705,-0.1265,0.000185526,,,
,,,,,,,,-0.12654,0.00236,-0.12552,0.06959,-0.12552,0.000183132,,,
,,,,,,,,-0.12524,0.00237,-0.12459,0.06919,-0.12459,0.000182079,,,
,,,,,,,,-0.12464,0.00238,-0.12346,0.06882,-0.12346,0.000181105,,,
,,,,,,,,-0.1233,0.00233,-0.12246,0.0679,-0.12246,0.000178684,,,
,,,,,,,,-0.12266,0.00235,-0.1215,0.06792,-0.1215,0.000178737,,,
,,,,,,,,-0.12138,0.00236,-0.12047,0.06736,-0.12047,0.000177263,,,
,,,,,,,,-0.12056,0.00232,-0.11944,0.06724,-0.11944,0.000176947,,,
,,,,,,,,-0.11957,0.00233,-0.11836,0.06646,-0.11836,0.000174895,,,
,,,,,,,,-0.11856,0.00236,-0.11745,0.06566,-0.11745,0.000172789,,,
,,,,,,,,-0.11738,0.00228,-0.11646,0.06576,-0.11646,0.000173053,,,
,,,,,,,,-0.11638,0.00227,-0.11539,0.06502,-0.11539,0.000171105,,,
,,,,,,,,-0.1155,0.00234,-0.11447,0.06489,-0.11447,0.000170763,,,
,,,,,,,,-0.11455,0.00225,-0.11345,0.06454,-0.11345,0.000169842,,,
,,,,,,,,-0.11349,0.00224,-0.11241,0.0636,-0.11241,0.000167368,,,
,,,,,,,,-0.11269,0.00225,-0.11149,0.06382,-0.11149,0.000167947,,,
,,,,,,,,-0.1116,0.00225,-0.11048,0.06273,-0.11048,0.000165079,,,
,,,,,,,,-0.11055,0.00224,-0.10953,0.0623,-0.10953,0.000163947,,,
,,,,,,,,-0.10943,0.00224,-0.10845,0.06235,-0.10845,0.000164079,,,
,,,,,,,,-0.1086,0.00225,-0.10749,0.06212,-0.10749,0.000163474,,,
,,,,,,,,-0.10761,0.00223,-0.10637,0.06198,-0.10637,0.000163105,,,
,,,,,,,,-0.10667,0.00224,-0.10539,0.06115,-0.10539,0.000160921,,,
,,,,,,,,-0.10549,0.00232,-0.10435,0.06047,-0.10435,0.000159132,,,
,,,,,,,,-0.10465,0.00225,-0.10329,0.06086,-0.10329,0.000160158,,,
,,,,,,,,-0.10361,0.00224,-0.10236,0.06023,-0.10236,0.0001585,,,
,,,,,,,,-0.10251,0.00228,-0.10144,0.05979,-0.10144,0.000157342,,,
,,,,,,,,-0.10149,0.00221,-0.10034,0.05965,-0.10034,0.000156974,,,
,,,,,,,,-0.10075,0.00233,-0.09942,0.05972,-0.09942,0.000157158,,,
,,,,,,,,-0.09956,0.00237,-0.09847,0.05913,-0.09847,0.000155605,,,
,,,,,,,,-0.09857,0.00228,-0.09743,0.05856,-0.09743,0.000154105,,,
,,,,,,,,-0.09754,0.00225,-0.09642,0.05905,-0.09642,0.000155395,,,
,,,,,,,,-0.09659,0.00224,-0.09545,0.05862,-0.09545,0.000154263,,,
,,,,,,,,-0.09554,0.00223,-0.09441,0.05824,-0.09441,0.000153263,,,
,,,,,,,,-0.09451,0.00221,-0.09343,0.05799,-0.09343,0.000152605,,,
,,,,,,,,-0.09356,0.00224,-0.09241,0.05759,-0.09241,0.000151553,,,
,,,,,,,,-0.09253,0.00231,-0.09136,0.05737,-0.09136,0.000150974,,,
,,,,,,,,-0.09157,0.00221,-0.09041,0.05742,-0.09041,0.000151105,,,
,,,,,,,,-0.09047,0.00221,-0.0894,0.05713,-0.0894,0.000150342,,,
,,,,,,,,-0.0895,0.00222,-0.08839,0.05684,-0.08839,0.000149579,,,
,,,,,,,,-0.08842,0.00218,-0.0874,0.05699,-0.0874,0.000149974,,,
,,,,,,,,-0.08749,0.00219,-0.08649,0.05626,-0.08649,0.000148053,,,
,,,,,,,,-0.0865,0.00222,-0.08545,0.05598,-0.08545,0.000147316,,,
,,,,,,,,-0.0854,0.00222,-0.08447,0.05619,-0.08447,0.000147868,,,
,,,,,,,,-0.0845,0.00219,-0.08344,0.05571,-0.08344,0.000146605,,,
,,,,,,,,-0.08344,0.0022,-0.0824,0.05569,-0.0824,0.000146553,,,
,,,,,,,,-0.08261,0.00217,-0.08144,0.0554,-0.08144,0.000145789,,,
,,,,,,,,-0.08151,0.00215,-0.08046,0.05522,-0.08046,0.000145316,,,
,,,,,,,,-0.08056,0.00222,-0.07947,0.05536,-0.07947,0.000145684,,,
,,,,,,,,-0.07952,0.00218,-0.07844,0.05515,-0.07844,0.000145132,,,
,,,,,,,,-0.07859,0.00218,-0.07746,0.05471,-0.07746,0.000143974,,,
,,,,,,,,-0.07759,0.00216,-0.0765,0.0545,-0.0765,0.000143421,,,
,,,,,,,,-0.07643,0.00215,-0.07548,0.05424,-0.07548,0.000142737,,,
,,,,,,,,-0.07548,0.00215,-0.07455,0.05441,-0.07455,0.000143184,,,
,,,,,,,,-0.07447,0.00215,-0.07354,0.05391,-0.07354,0.000141868,,,
,,,,,,,,-0.07343,0.00212,-0.07253,0.05391,-0.07253,0.000141868,,,
,,,,,,,,-0.07254,0.0021,-0.07149,0.05359,-0.07149,0.000141026,,,
,,,,,,,,-0.0715,0.00229,-0.07042,0.05333,-0.07042,0.000140342,,,
,,,,,,,,-0.0705,0.00215,-0.06949,0.0533,-0.06949,0.000140263,,,
,,,,,,,,-0.06951,0.00214,-0.0685,0.05326,-0.0685,0.000140158,,,
,,,,,,,,-0.06848,0.00212,-0.06759,0.05312,-0.06759,0.000139789,,,
,,,,,,,,-0.0675,0.00214,-0.06648,0.0531,-0.06648,0.000139737,,,
,,,,,,,,-0.06655,0.00211,-0.06547,0.05241,-0.06547,0.000137921,,,
,,,,,,,,-0.06552,0.00213,-0.06453,0.05292,-0.06453,0.000139263,,,
,,,,,,,,-0.06447,0.00213,-0.06354,0.05208,-0.06354,0.000137053,,,
,,,,,,,,-0.0635,0.00213,-0.06253,0.05217,-0.06253,0.000137289,,,
,,,,,,,,-0.06257,0.00211,-0.06134,0.05191,-0.06134,0.000136605,,,
,,,,,,,,-0.06161,0.00209,-0.06074,0.05185,-0.06074,0.000136447,,,
,,,,,,,,-0.06065,0.00208,-0.05955,0.05191,-0.05955,0.000136605,,,
,,,,,,,,-0.0595,0.00211,-0.05846,0.05156,-0.05846,0.000135684,,,
,,,,,,,,-0.05864,0.00209,-0.0579,0.05129,-0.0579,0.000134974,,,
,,,,,,,,-0.05756,0.00208,-0.0563,0.05098,-0.0563,0.000134158,,,
,,,,,,,,-0.05665,0.0021,-0.0557,0.05097,-0.0557,0.000134132,,,
,,,,,,,,-0.05566,0.00212,-0.0545,0.05105,-0.0545,0.000134342,,,
,,,,,,,,-0.05463,0.0021,-0.05364,0.05069,-0.05364,0.000133395,,,
,,,,,,,,-0.05371,0.00212,-0.05253,0.05042,-0.05253,0.000132684,,,
,,,,,,,,-0.05259,0.0021,-0.05134,0.05041,-0.05134,0.000132658,,,
,,,,,,,,-0.0516,0.00211,-0.05016,0.05032,-0.05016,0.000132421,,,
,,,,,,,,-0.05053,0.0021,-0.0494,0.04986,-0.0494,0.000131211,,,
,,,,,,,,-0.04961,0.0021,-0.04846,0.04989,-0.04846,0.000131289,,,
,,,,,,,,-0.04862,0.00211,-0.04736,0.04942,-0.04736,0.000130053,,,
,,,,,,,,-0.04751,0.00207,-0.04654,0.04941,-0.04654,0.000130026,,,
,,,,,,,,-0.04656,0.00211,-0.04524,0.04932,-0.04524,0.000129789,,,
,,,,,,,,-0.04554,0.00208,-0.04456,0.04914,-0.04456,0.000129316,,,
,,,,,,,,-0.0446,0.0021,-0.04319,0.04907,-0.04319,0.000129132,,,
,,,,,,,,-0.04351,0.00208,-0.04266,0.04907,-0.04266,0.000129132,,,
,,,,,,,,-0.04261,0.00208,-0.04134,0.04869,-0.04134,0.000128132,,,
,,,,,,,,-0.04152,0.00206,-0.04034,0.04871,-0.04034,0.000128184,,,
,,,,,,,,-0.04053,0.00207,-0.03919,0.04822,-0.03919,0.000126895,,,
,,,,,,,,-0.03953,0.00205,-0.03873,0.04812,-0.03873,0.000126632,,,
,,,,,,,,-0.03848,0.00208,-0.03743,0.04834,-0.03743,0.000127211,,,
,,,,,,,,-0.03748,0.00209,-0.03668,0.04803,-0.03668,0.000126395,,,
,,,,,,,,-0.03654,0.00203,-0.03526,0.04759,-0.03526,0.000125237,,,
,,,,,,,,-0.03549,0.00205,-0.03458,0.04739,-0.03458,0.000124711,,,
,,,,,,,,-0.03455,0.00204,-0.03376,0.04745,-0.03376,0.000124868,,,
,,,,,,,,-0.03356,0.00204,-0.03216,0.04703,-0.03216,0.000123763,,,
,,,,,,,,-0.03247,0.00201,-0.03113,0.04686,-0.03113,0.000123316,,,
,,,,,,,,-0.03146,0.002,-0.03066,0.04686,-0.03066,0.000123316,,,
,,,,,,,,-0.0305,0.00203,-0.02918,0.04642,-0.02918,0.000122158,,,
,,,,,,,,-0.0296,0.00202,-0.02857,0.04637,-0.02857,0.000122026,,,
,,,,,,,,-0.02851,0.00203,-0.02732,0.04634,-0.02732,0.000121947,,,
,,,,,,,,-0.02754,0.00205,-0.0264,0.04601,-0.0264,0.000121079,,,
,,,,,,,,-0.02658,0.00202,-0.02552,0.04585,-0.02552,0.000120658,,,
,,,,,,,,-0.02551,0.00199,-0.02449,0.0458,-0.02449,0.000120526,,,
,,,,,,,,-0.02464,0.00204,-0.0233,0.04569,-0.0233,0.000120237,,,
,,,,,,,,-0.02361,0.00205,-0.02251,0.04541,-0.02251,0.0001195,,,
,,,,,,,,-0.0226,0.00205,-0.02131,0.04519,-0.02131,0.000118921,,,
,,,,,,,,-0.02167,0.00205,-0.02062,0.04491,-0.02062,0.000118184,,,
,,,,,,,,-0.02055,0.00204,-0.01933,0.04466,-0.01933,0.000117526,,,
,,,,,,,,-0.0196,0.00207,-0.01835,0.04456,-0.01835,0.000117263,,,
,,,,,,,,-0.0185,0.00204,-0.0174,0.04457,-0.0174,0.000117289,,,
,,,,,,,,-0.01761,0.00206,-0.01621,0.04432,-0.01621,0.000116632,,,
,,,,,,,,-0.0166,0.00207,-0.01557,0.04398,-0.01557,0.000115737,,,
,,,,,,,,-0.01553,0.00207,-0.01415,0.04364,-0.01415,0.000114842,,,
,,,,,,,,-0.01458,0.00228,-0.01339,0.04358,-0.01339,0.000114684,,,
,,,,,,,,-0.01359,0.00206,-0.01275,0.04335,-0.01275,0.000114079,,,
,,,,,,,,-0.01257,0.00206,-0.01177,0.04351,-0.01177,0.0001145,,,
,,,,,,,,-0.01153,0.00209,-0.01037,0.0436,-0.01037,0.000114737,,,
,,,,,,,,-0.01058,0.00212,-0.0096,0.04312,-0.0096,0.000113474,,,
,,,,,,,,-0.00955,0.00211,-0.0085,0.04274,-0.0085,0.000112474,,,
,,,,,,,,-0.00856,0.0021,-0.0074,0.04262,-0.0074,0.000112158,,,
,,,,,,,,-0.00755,0.00212,-0.00652,0.04273,-0.00652,0.000112447,,,
,,,,,,,,-0.00662,0.00215,-0.0055,0.04229,-0.0055,0.000111289,,,
,,,,,,,,-0.00555,0.00206,-0.00442,0.04225,-0.00442,0.000111184,,,
,,,,,,,,-0.00457,0.00207,-0.0035,0.04211,-0.0035,0.000110816,,,
,,,,,,,,-0.00359,0.00208,-0.00245,0.04192,-0.00245,0.000110316,,,
,,,,,,,,-0.00257,0.00209,-0.00148,0.04151,-0.00148,0.000109237,,,
,,,,,,,,-0.0016,0.00208,-5.69E-04,0.04154,-5.69E-04,0.000109316,,,
,,,,,,,,-5.71E-04,0.00208,4.44E-04,0.04139,4.44E-04,0.000108921,,,
