surface_name	site_name	species_name	formation_energy	frequencies	reference
Cu	111	CO	-0.566522	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work
Cu	111	CO-H	1.97134424	[1695.8, 757.8, 325.1, 278.1, 277.1, 113.9, 72.7, 400.2]	This work
Cu	111	CO-H-ele	0.643478	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work
Cu	111	COH	0.642131661	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work
Cu	111	COH-H-ele	2.132131661	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work
Cu	111	H	0.118629638	[459.5, 563.0, 995.3]	This work
Cu	111	H-CO	0.69524294	[1739.3, 1200.4, 647.5, 305.1, 213.4, 189.8, 125.6, 80.3]	This work
Cu	111	H-CO-ele	1.026814823	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work
Cu	111	H-H	0.717259276	[129.1, 218.3, 426.7, 4083.2]	This work
Cu	111	H-ele	0.985552224	[902.6, 1205.4, 1784.9]	This work
Cu	111	H2-ele	0.808629638	[420.6, 445.7, 799.4, 1078.9, 1145.2, 1915.9]	This work
Cu	111	O	0.961113063	[]	This work
Cu	111	OC-CHO	-0.218331	[82.6, 130.0, 152.1, 213.2, 254.4, 289.6, 341.6, 385.8, 495.7, 731.1, 1161.3, 1323.1, 1854.1, 2706.5]	This work
Cu	111	OC-CO	0.19404	[61.4, 99.3, 144.3, 228.3, 246.8, 260.2, 275.1, 330.0, 515.6, 1558.5, 1709.3]	This work
Cu	111	OCC	-1.828972	[122.9, 179.3, 218.0, 274.4, 281.1, 535.1, 545.7, 1202.2, 1979.8]	This work
Cu	111	OCC-H	-0.726269	[122.9, 179.3, 218.0, 274.4, 281.1, 535.1, 545.7, 1202.2, 1979.8]	This work
Cu	111	OCC-H-ele	-1.218972	[122.9, 179.3, 218.0, 274.4, 281.1, 535.1, 545.7, 1202.2, 1979.8]	This work
Cu	111	OCC-HO	-0.1726339	[96.7, 122.1, 147.2, 180.8, 262.9, 281.4, 323., 518.3, 565.4, 603.1, 828.9, 1431.9, 1513.5, 1541.]	This work
Cu	111	OCC-HO-ele	0.546099352	[38.6, 159.1, 181.7, 188.7, 214.5, 363.1, 490.3, 570.2, 676.5, 1245.5, 1393.0, 1584.8, 1651.1]	This work
Cu	111	OCCH	-1.247981	[160.9, 187.1, 247.4, 290.9, 332.2, 370.1, 578.9, 744.0, 1016.3, 1074.1, 1416.7, 2923.6]	This work
Cu	111	OCCHO	-1.039279	[124.4,137.9,203.5,222.9,246.7,284.2,364.3,414.6,768.9,826.1,957.2,1303.7,1407.4,1448.2,3000.6]	This work
Cu	111	OCCO	-0.60246	[161.3,176.3,203.4,260.2,323.5,336.3,358.5,540.2,654.6,808.5,1375.4,1594.3]	This work
Cu	111	OCCO-H-ele	-0.19246	[193.8, 232.2, 247.3, 320.6, 327.4, 341.4, 370.5, 527.8, 650.3, 830., 1081., 1319.6, 1395.1, 1595.8, 2555.3]	This work
Cu	111	OCCOH	-0.676151	[148.9, 196.4, 213.8, 243.5, 264.2, 316.5, 324.1, 512.9, 681.9, 775.4, 881.0, 1029.9, 1292.6, 1348.3, 3415.8]	This work
Cu	111	OCCOH-H-ele	-0.226151	[148.9, 196.4, 213.8, 243.5, 264.2, 316.5, 324.1, 512.9, 681.9, 775.4, 881.0, 1029.9, 1292.6, 1348.3, 3415.8]	This work
Cu	111	OH	-0.007280099	[35.4, 126.8, 307.9, 511.8, 534.0, 3660.9]	This work
Cu	211	CH	0.243539598	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work
Cu	211	CH-H	0.62775186	[379.60000000000002, 437.80000000000001, 558.70000000000005, 656.5, 894.79999999999995, 1573.3, 3011.5]	This work
Cu	211	CH2	-0.617037764	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work
Cu	211	CH2-H	-0.3287997	[62.100000000000001, 278.10000000000002, 322.80000000000001, 504.80000000000001, 588.70000000000005, 852.39999999999998, 953.20000000000005, 1338.5999999999999, 1815.2, 3008.8000000000002, 3082.0]	This work
Cu	211	CH2O	-0.835347501	[63.1, 141., 181., 202.1, 303.2, 392.7, 882.1, 1187.5, 1329.3, 1516.1, 2924.1, 3005.4]	This work
Cu	211	CH2O-H-ele	-0.275347501	[63.1, 141., 181., 202.1, 303.2, 392.7, 882.1, 1187.5, 1329.3, 1516.1, 2924.1, 3005.4]	This work
Cu	211	CH2O-ele	0.474565761	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work
Cu	211	CH2OH	-1.102765163	[166.2, 178.8, 234.7, 276.7, 436.2, 575.1, 707.7, 850.9, 1156.1, 1195.1, 1323.7, 1460.8, 3002.1, 3076.1, 3478.9]	This work
Cu	211	CH2OH-H-ele	-0.312765163	[166.2, 178.8, 234.7, 276.7, 436.2, 575.1, 707.7, 850.9, 1156.1, 1195.1, 1323.7, 1460.8, 3002.1, 3076.1, 3478.9]	This work
Cu	211	CH3	-1.560673126	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work
Cu	211	CH3-H	-0.96128896	[156.0, 192.5, 442.10000000000002, 648.39999999999998, 656.70000000000005, 1072.4000000000001, 1218.7, 1320.5999999999999, 1375.5999999999999, 1415.9000000000001, 2641.9000000000001, 3025.9000000000001, 3096.0]	This work
Cu	211	CH3O	-1.714440463	[]	This work
Cu	211	CHO	-0.545434239	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work
Cu	211	CHO-H-ele	0.234565761	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work
Cu	211	CHOH	-0.147270401	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work
Cu	211	CHOH-H-ele	0.542729599	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work
Cu	211	CO	-0.900587	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work
Cu	211	CO-H	1.94831454	[1695.8, 757.8, 325.1, 278.1, 277.1, 113.9, 72.7, 400.2]	This work
Cu	211	CO-H-ele	0.409413	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work
Cu	211	COH	0.577362561	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work
Cu	211	COH-H-ele	2.227362561	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work
Cu	211	H	-0.015515062	[459.5, 563.0, 995.3]	This work
Cu	211	H-CO	0.47027724	[1739.3, 1200.4, 647.5, 305.1, 213.4, 189.8, 125.6, 80.3]	This work
